reg;semaine;anxiete;anxiete_inf;anxiete_sup;depression;depression_inf;depression_sup;pbsommeil;pbsommeil_inf;pbsommeil_sup;hyg4mes;hyg4mes_inf;hyg4mes_sup;dist3mes;dist3mes_inf;dist3mes_sup;nbmoy7mes;nbmoy7mes_inf;nbmoy7mes_sup;nbmoy4mesHyg;nbmoy4mesHyg_inf;nbmoy4mesHyg_sup;dist1m;dist1m_inf;dist1m_sup;portmasque;portmasque_inf;portmasque_sup;;;
53;Vague 8 : 18-20 mai;14,9;9,5;22,8;10,6;6,1;17,8;62,0;52,6;70,7;38,1;29,5;47,4;;;;;;;2,90;2,69;3,10;67,9;58,5;76,0;39,1;30,5;48,5;;;
75;Vague 8 : 18-20 mai;17,6;12,7;23,9;11,9;8,0;17,5;59,5;52,3;66,4;40,5;33,6;47,8;;;;;;;2,83;2,65;3,01;70,2;63,2;76,4;50,0;42,8;57,2;;;
76;Vague 8 : 18-20 mai;18,6;13,6;25,0;13,3;9,2;19,0;66,9;59,7;73,4;40,1;33,3;47,4;;;;;;;2,73;2,53;2,93;69,4;62,3;75,7;54,3;47,0;61,5;;;
84;Vague 8 : 18-20 mai;15,2;11,2;20,2;12,7;9,1;17,6;63,9;57,6;69,7;41,5;35,4;47,8;;;;;;;2,80;2,64;2,97;67,4;61,2;73,1;49,3;43,0;55,6;;;
93;Vague 8 : 18-20 mai;14,5;9,5;21,6;12,3;7,8;18,8;60,4;52,2;68,0;47,7;39,7;55,8;;;;;;;3,00;2,81;3,20;73,6;65,9;80,1;60,2;52,1;67,9;;;
11;Vague 9 : 27-29 mai;18,0;14,3;22,4;15,2;11,8;19,4;69,3;64,4;73,9;44,9;39,8;50,1;;;;;;;2,89;2,76;3,02;62,4;57,3;67,3;57,7;52,5;62,7;;;
24;Vague 9 : 27-29 mai;13,6;7,6;23,2;10,9;5,7;19,8;75,7;65,4;83,7;48,2;37,6;59,0;;;;;;;3,06;2,79;3,32;65,0;53,9;74,6;55,9;45,1;66,2;;;
27;Vague 9 : 27-29 mai;15,3;8,9;25,3;10,4;5,3;19,5;70,5;59,6;79,5;33,9;24,3;45,0;;;;;;;2,70;2,43;2,97;67,8;56,6;77,3;48,6;37,6;59,7;;;
28;Vague 9 : 27-29 mai;25,0;17,8;33,9;16,7;10,9;24,9;69,5;60,5;77,2;41,3;32,6;50,6;;;;;;;2,73;2,49;2,98;60,9;51,6;69,4;51,0;41,9;60,1;;;
32;Vague 9 : 27-29 mai;23,6;18,1;30,1;14,1;9,8;19,8;71,8;64,9;77,8;36,4;29,8;43,6;;;;;;;2,77;2,58;2,96;68,0;60,9;74,3;59,9;52,7;66,7;;;
44;Vague 9 : 27-29 mai;20,6;15,1;27,5;12,1;7,8;18,1;62,2;54,5;69,3;40,9;33,6;48,6;;;;;;;2,87;2,68;3,06;68,3;60,8;74,9;56,4;48,7;63,8;;;
52;Vague 9 : 27-29 mai;11,7;7,0;18,9;9,1;4,9;16,3;58,6;49,6;67,1;49,3;40,5;58,2;;;;;;;2,96;2,73;3,19;69,5;60,7;77,1;53,2;44,3;62,0;;;
53;Vague 9 : 27-29 mai;13,1;7,7;21,4;7,8;3,9;15,0;52,0;42,4;61,4;43,0;33,9;52,6;;;;;;;2,88;2,63;3,12;64,7;55,0;73,3;39,3;30,4;48,9;;;
75;Vague 9 : 27-29 mai;11,9;7,8;17,7;11,4;7,5;16,9;63,7;56,4;70,5;40,9;33,8;48,3;;;;;;;2,78;2,59;2,98;66,8;59,4;73,5;55,5;48,0;62,8;;;
76;Vague 9 : 27-29 mai;19,4;14,1;26,0;13,9;9,4;20,0;67,7;60,4;74,2;42,9;35,7;50,4;;;;;;;2,72;2,51;2,94;68,6;61,2;75,1;46,4;39,1;53,8;;;
84;Vague 9 : 27-29 mai;10,6;7,2;15,4;9,4;6,2;13,9;66,8;60,4;72,6;42,6;36,4;49,2;;;;;;;2,98;2,83;3,13;65,2;58,7;71,2;53,9;47,4;60,3;;;
93;Vague 9 : 27-29 mai;13,6;9,1;19,8;11,3;7,3;17,1;62,3;54,6;69,5;37,7;30,6;45,3;;;;;;;2,83;2,65;3,01;61,5;53,7;68,7;56,3;48,5;63,8;;;
11;Vague 10 : 8-10 juin;18,8;15,1;23,3;13,9;10,8;17,9;64,9;59,8;69,7;37,5;32,6;42,6;;;;;;;2,66;2,52;2,80;56,4;51,2;61,5;58,4;53,2;63,4;;;
24;Vague 10 : 8-10 juin;13,9;8,0;23,1;8,5;4,1;16,9;71,2;60,7;79,8;36,5;26,9;47,4;;;;;;;2,56;2,26;2,86;59,6;48,8;69,6;47,9;37,4;58,5;;;
27;Vague 10 : 8-10 juin;13,3;7,9;21,8;9,4;4,9;17,1;63,8;53,3;73,1;44,7;34,8;55,2;;;;;;;2,89;2,63;3,15;62,3;51,9;71,7;43,8;33,9;54,2;;;
28;Vague 10 : 8-10 juin;15,5;9,5;24,2;9,5;4,9;17,5;64,1;54,0;73,1;41,3;31,9;51,5;;;;;;;2,77;2,51;3,03;61,9;51,6;71,1;52,7;42,7;62,5;;;
32;Vague 10 : 8-10 juin;18,4;13,5;24,7;12,5;8,5;18,1;69,1;62,8;75,4;39,1;32,3;46,4;;;;;;;2,72;2,53;2,91;57,5;50,2;64,4;51,4;44,1;58,5;;;
44;Vague 10 : 8-10 juin;17,6;12,4;24,5;11,8;7,7;17,7;65,4;57,8;72,3;34,9;28,0;42,4;;;;;;;2,61;2,41;2,82;57,0;49,2;64,4;48,8;41,2;56,4;;;
52;Vague 10 : 8-10 juin;16,6;10,9;24,5;11,3;6,7;18,2;58,8;49,9;67,2;38,1;30,0;47,0;;;;;;;2,54;2,28;2,79;56,1;47,2;64,7;47,9;39,2;56,7;;;
